item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;Ella le prometió a ella ser más ordenada con los apuntes.;1.0;7.592463970184326;33.76133728027344
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;Ella le prometió a él ser más ordenada con los apuntes.;1.0;10.399373054504395;29.587101936340332
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;Él le prometió a ella ser más ordenada con los apuntes.;1.0;8.26419448852539;28.711383819580078
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;Él le prometió a él ser más ordenada con los apuntes.;1.0;13.002902030944824;48.722607135772705
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;Ella le aconsejó a ella ser más ordenada con los apuntes.;1.0;6.302453994750977;22.92385196685791
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a ella ser más ordenada con los apuntes.;1.0;6.444952011108398;19.042195320129395
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;Ella le aconsejó a él ser más ordenada con los apuntes.;1.0;10.300085067749023;22.141498565673828
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a él ser más ordenada con los apuntes.;1.0;10.987730026245117;34.558987617492676
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Él le reconoció a él ser demasiado escrupuloso con la comida.;3.0;0.024843215942382812;20.961535453796387
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Él le reconoció a ella ser demasiado escrupuloso con la comida.;3.0;0.9684200286865234;18.129944801330566
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Ella le reconoció a él ser demasiado escrupuloso con la comida.;3.0;0.03512382507324219;18.201651573181152
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Ella le reconoció a ella ser demasiado escrupuloso con la comida.;3.0;3.1543312072753906;30.423806190490723
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Él le recriminó a él ser demasiado escrupuloso con la comida.;3.0;0.05055046081542969;12.609601020812988
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Ella le recriminó a él ser demasiado escrupuloso con la comida.;3.0;0.05521965026855469;7.667629241943359
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Él le recriminó a ella ser demasiado escrupuloso con la comida.;3.0;1.3628482818603516;10.26048231124878
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Ella le recriminó a ella ser demasiado escrupuloso con la comida.;3.0;2.790822982788086;20.988706588745117
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ella le reveló a ella ser muy temerosa durante las tormentas.;2.0;3.380615234375;31.085719108581543
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ella le reveló a él ser muy temerosa durante las tormentas.;2.0;5.708261489868164;28.68222999572754
3;C;Juan;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;C;subject;ungrammatical;match;reveló;fem;ser;Él le reveló a ella ser muy temerosa durante las tormentas.;2.0;4.555562973022461;27.65096950531006
3;D;Juan;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;D;subject;ungrammatical;mismatch;reveló;fem;ser;Él le reveló a él ser muy temerosa durante las tormentas.;2.0;8.355255126953125;41.94175100326538
3;E;Ana;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;E;object;grammatical;match;reprochó;fem;ser;Ella le reprochó a ella ser muy temerosa durante las tormentas.;2.0;0.8354873657226562;20.203145027160645
3;F;Juan;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;F;object;grammatical;mismatch;reprochó;fem;ser;Él le reprochó a ella ser muy temerosa durante las tormentas.;2.0;1.0598125457763672;16.949291229248047
3;G;Ana;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;G;object;ungrammatical;match;reprochó;fem;ser;Ella le reprochó a él ser muy temerosa durante las tormentas.;2.0;5.693767547607422;22.209909439086914
3;H;Juan;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;H;object;ungrammatical;mismatch;reprochó;fem;ser;Él le reprochó a él ser muy temerosa durante las tormentas.;2.0;6.620016098022461;34.33088970184326
4;A;Daniel;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;A;subject;grammatical;match;garantizó;masc;ser;Él le garantizó a él ser más afectuoso con los clientes.;2.0;0.024730682373046875;20.23893404006958
4;B;Daniel;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;B;subject;grammatical;mismatch;garantizó;masc;ser;Él le garantizó a ella ser más afectuoso con los clientes.;2.0;2.222166061401367;23.0198974609375
4;C;Marta;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;C;subject;ungrammatical;match;garantizó;masc;ser;Ella le garantizó a él ser más afectuoso con los clientes.;2.0;0.02172088623046875;19.040265560150146
4;D;Marta;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;D;subject;ungrammatical;mismatch;garantizó;masc;ser;Ella le garantizó a ella ser más afectuoso con los clientes.;2.0;2.3836498260498047;25.064631462097168
4;E;Daniel;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;E;object;grammatical;match;recomendó;masc;ser;Él le recomendó a él ser más afectuoso con los clientes.;2.0;0.023523330688476562;15.49213457107544
4;F;Marta;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;F;object;grammatical;mismatch;recomendó;masc;ser;Ella le recomendó a él ser más afectuoso con los clientes.;2.0;0.022142410278320312;12.588129997253418
4;G;Daniel;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;G;object;ungrammatical;match;recomendó;masc;ser;Él le recomendó a ella ser más afectuoso con los clientes.;2.0;1.8141136169433594;16.522305488586426
4;H;Marta;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;H;object;ungrammatical;mismatch;recomendó;masc;ser;Ella le recomendó a ella ser más afectuoso con los clientes.;2.0;2.173585891723633;21.91997241973877
5;A;Dolores;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;A;subject;grammatical;match;confirmó;fem;ser;Ella le confirmó a ella ser siempre tan competitiva en el trabajo.;1.0;6.812342643737793;33.79841995239258
5;B;Dolores;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;B;subject;grammatical;mismatch;confirmó;fem;ser;Ella le confirmó a él ser siempre tan competitiva en el trabajo.;1.0;9.699209213256836;33.089688777923584
5;C;Carlos;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;C;subject;ungrammatical;match;confirmó;fem;ser;Él le confirmó a ella ser siempre tan competitiva en el trabajo.;1.0;7.264719009399414;33.86993217468262
5;D;Carlos;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;D;subject;ungrammatical;mismatch;confirmó;fem;ser;Él le confirmó a él ser siempre tan competitiva en el trabajo.;1.0;10.53992748260498;42.923089027404785
5;E;Dolores;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;E;object;grammatical;match;impidió;fem;ser;Ella le impidió a ella ser siempre tan competitiva en el trabajo.;1.0;5.893238544464111;25.678852558135986
5;F;Carlos;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;F;object;grammatical;mismatch;impidió;fem;ser;Él le impidió a ella ser siempre tan competitiva en el trabajo.;1.0;5.946190357208252;25.98662805557251
5;G;Dolores;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;G;object;ungrammatical;match;impidió;fem;ser;Ella le impidió a él ser siempre tan competitiva en el trabajo.;1.0;11.193733215332031;30.21908950805664
5;H;Carlos;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;H;object;ungrammatical;mismatch;impidió;fem;ser;Él le impidió a él ser siempre tan competitiva en el trabajo.;1.0;11.01752758026123;38.72327709197998
6;A;Miguel;le;desmintió;a;Rafael;ser;demasiado;codicioso;con los beneficios;6;A;subject;grammatical;match;desmintió;masc;ser;Él le desmintió a él ser demasiado codicioso con los beneficios.;2.0;0.26335906982421875;26.624353408813477
