item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;Ela prometeulle a ela ser máis ordenada coas notas.;1.0;10.901598930358887;31.434144973754883
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;Ela prometeulle a el ser máis ordenada coas notas.;1.0;12.928268432617188;36.652459144592285
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;El prometeulle a ela ser máis ordenada coas notas.;1.0;10.516608238220215;33.88948106765747
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;El prometeulle a el ser máis ordenada coas notas.;1.0;12.84749984741211;35.40852880477905
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;Ela aconselloulle a ela ser máis ordenada coas notas.;1.0;10.328476905822754;27.892491817474365
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a ela ser máis ordenada coas notas.;1.0;9.929854393005371;30.20743179321289
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;Ela aconselloulle a el ser máis ordenada coas notas.;1.0;12.498322486877441;34.02071762084961
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a el ser máis ordenada coas notas.;1.0;12.174397468566895;31.541696548461914
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;El recoñeceulle a el ser demasiado escrupuloso coa comida.;2.0;0.1688213348388672;21.15963840484619
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;El recoñeceulle a ela ser demasiado escrupuloso coa comida.;2.0;5.538120269775391;30.292107105255127
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Ela recoñeceulle a el ser demasiado escrupuloso coa comida.;2.0;0.25831031799316406;21.934105396270752
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Ela recoñeceulle a ela ser demasiado escrupuloso coa comida.;2.0;6.01630973815918;27.63410997390747
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;El recriminoulle a el ser demasiado escrupuloso coa comida.;2.0;0.15715789794921875;14.313749313354492
2;F;Isabel;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;F;object;grammatical;mismatch;recriminoulle;masc;ser;Ela recriminoulle a el ser demasiado escrupuloso coa comida.;2.0;0.19913673400878906;15.4434175491333
2;G;Francisco;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;G;object;ungrammatical;match;recriminoulle;masc;ser;El recriminoulle a ela ser demasiado escrupuloso coa comida.;2.0;4.874107360839844;22.20615005493164
2;H;Isabel;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;H;object;ungrammatical;mismatch;recriminoulle;masc;ser;Ela recriminoulle a ela ser demasiado escrupuloso coa comida.;2.0;5.16297721862793;19.260820388793945
3;A;Ana;reveloulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;A;subject;grammatical;match;reveloulle;fem;ser;Ela reveloulle a ela ser moi temerosa durante as tormentas.;2.0;1.0187110900878906;30.76985454559326
3;B;Ana;reveloulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;B;subject;grammatical;mismatch;reveloulle;fem;ser;Ela reveloulle a el ser moi temerosa durante as tormentas.;2.0;2.7447280883789062;34.07112407684326
3;C;Juan;reveloulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;C;subject;ungrammatical;match;reveloulle;fem;ser;El reveloulle a ela ser moi temerosa durante as tormentas.;2.0;0.8415107727050781;31.8457350730896
3;D;Juan;reveloulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;D;subject;ungrammatical;mismatch;reveloulle;fem;ser;El reveloulle a el ser moi temerosa durante as tormentas.;2.0;3.762875556945801;34.822115898132324
3;E;Ana;reprochoulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;E;object;grammatical;match;reprochoulle;fem;ser;Ela reprochoulle a ela ser moi temerosa durante as tormentas.;2.0;0.7258119583129883;23.82333993911743
3;F;Juan;reprochoulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;F;object;grammatical;mismatch;reprochoulle;fem;ser;El reprochoulle a ela ser moi temerosa durante as tormentas.;2.0;0.6792278289794922;26.512765884399414
3;G;Ana;reprochoulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;G;object;ungrammatical;match;reprochoulle;fem;ser;Ela reprochoulle a el ser moi temerosa durante as tormentas.;2.0;3.4430904388427734;29.4196138381958
3;H;Juan;reprochoulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;H;object;ungrammatical;mismatch;reprochoulle;fem;ser;El reprochoulle a el ser moi temerosa durante as tormentas.;2.0;4.865400314331055;29.812148571014404
4;A;Daniel;garantizoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;A;subject;grammatical;match;garantizoulle;masc;ser;El garantizoulle a el ser máis afectuoso cos clientes.;2.0;1.2734375;18.80436611175537
4;B;Daniel;garantizoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;B;subject;grammatical;mismatch;garantizoulle;masc;ser;El garantizoulle a ela ser máis afectuoso cos clientes.;2.0;5.587018966674805;27.32887601852417
4;C;Marta;garantizoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;C;subject;ungrammatical;match;garantizoulle;masc;ser;Ela garantizoulle a el ser máis afectuoso cos clientes.;2.0;1.8177852630615234;21.14093780517578
4;D;Marta;garantizoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;D;subject;ungrammatical;mismatch;garantizoulle;masc;ser;Ela garantizoulle a ela ser máis afectuoso cos clientes.;2.0;6.068767547607422;22.889992237091064
4;E;Daniel;recomendoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;E;object;grammatical;match;recomendoulle;masc;ser;El recomendoulle a el ser máis afectuoso cos clientes.;2.0;0.8358020782470703;13.797452926635742
4;F;Marta;recomendoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;F;object;grammatical;mismatch;recomendoulle;masc;ser;Ela recomendoulle a el ser máis afectuoso cos clientes.;2.0;1.2742118835449219;15.282777786254883
4;G;Daniel;recomendoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;G;object;ungrammatical;match;recomendoulle;masc;ser;El recomendoulle a ela ser máis afectuoso cos clientes.;2.0;6.769304275512695;22.717453002929688
4;H;Marta;recomendoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;H;object;ungrammatical;mismatch;recomendoulle;masc;ser;Ela recomendoulle a ela ser máis afectuoso cos clientes.;2.0;7.276763916015625;19.446213722229004
5;A;Dolores;confirmoulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;A;subject;grammatical;match;confirmoulle;fem;ser;Ela confirmoulle a ela ser sempre tan competitiva no traballo.;1.0;8.01708984375;33.78826713562012
5;B;Dolores;confirmoulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;B;subject;grammatical;mismatch;confirmoulle;fem;ser;Ela confirmoulle a el ser sempre tan competitiva no traballo.;1.0;10.254059791564941;38.611756801605225
5;C;Carlos;confirmoulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;C;subject;ungrammatical;match;confirmoulle;fem;ser;El confirmoulle a ela ser sempre tan competitiva no traballo.;1.0;7.729647636413574;36.11633825302124
5;D;Carlos;confirmoulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;D;subject;ungrammatical;mismatch;confirmoulle;fem;ser;El confirmoulle a el ser sempre tan competitiva no traballo.;1.0;10.457170486450195;38.425644874572754
