item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item;cond;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;María prometeulle a Carmen ser máis ordenada coas notas.
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;María prometeulle a Manuel ser máis ordenada coas notas.
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;José prometeulle a Carmen ser máis ordenada coas notas.
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;José prometeulle a Manuel ser máis ordenada coas notas.
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;María aconselloulle a Carmen ser máis ordenada coas notas.
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Carmen ser máis ordenada coas notas.
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;María aconselloulle a Manuel ser máis ordenada coas notas.
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Manuel ser máis ordenada coas notas.
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;Francisco recoñeceulle a David ser demasiado escrupuloso coa comida.
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;Francisco recoñeceulle a Laura ser demasiado escrupuloso coa comida.
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Isabel recoñeceulle a David ser demasiado escrupuloso coa comida.
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Isabel recoñeceulle a Laura ser demasiado escrupuloso coa comida.
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;Francisco recriminoulle a David ser demasiado escrupuloso coa comida.
2;F;Isabel;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;F;object;grammatical;mismatch;recriminoulle;masc;ser;Isabel recriminoulle a David ser demasiado escrupuloso coa comida.
2;G;Francisco;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;G;object;ungrammatical;match;recriminoulle;masc;ser;Francisco recriminoulle a Laura ser demasiado escrupuloso coa comida.
2;H;Isabel;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;H;object;ungrammatical;mismatch;recriminoulle;masc;ser;Isabel recriminoulle a Laura ser demasiado escrupuloso coa comida.
3;A;Ana;reveloulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;A;subject;grammatical;match;reveloulle;fem;ser;Ana reveloulle a Cristina ser moi temerosa durante as tormentas.
3;B;Ana;reveloulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;B;subject;grammatical;mismatch;reveloulle;fem;ser;Ana reveloulle a Javier ser moi temerosa durante as tormentas.
3;C;Juan;reveloulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;C;subject;ungrammatical;match;reveloulle;fem;ser;Juan reveloulle a Cristina ser moi temerosa durante as tormentas.
3;D;Juan;reveloulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;D;subject;ungrammatical;mismatch;reveloulle;fem;ser;Juan reveloulle a Javier ser moi temerosa durante as tormentas.
3;E;Ana;reprochoulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;E;object;grammatical;match;reprochoulle;fem;ser;Ana reprochoulle a Cristina ser moi temerosa durante as tormentas.
3;F;Juan;reprochoulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;F;object;grammatical;mismatch;reprochoulle;fem;ser;Juan reprochoulle a Cristina ser moi temerosa durante as tormentas.
3;G;Ana;reprochoulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;G;object;ungrammatical;match;reprochoulle;fem;ser;Ana reprochoulle a Javier ser moi temerosa durante as tormentas.
3;H;Juan;reprochoulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;H;object;ungrammatical;mismatch;reprochoulle;fem;ser;Juan reprochoulle a Javier ser moi temerosa durante as tormentas.
4;A;Daniel;garantizoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;A;subject;grammatical;match;garantizoulle;masc;ser;Daniel garantizoulle a Jesús ser máis afectuoso cos clientes.
4;B;Daniel;garantizoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;B;subject;grammatical;mismatch;garantizoulle;masc;ser;Daniel garantizoulle a Antonia ser máis afectuoso cos clientes.
4;C;Marta;garantizoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;C;subject;ungrammatical;match;garantizoulle;masc;ser;Marta garantizoulle a Jesús ser máis afectuoso cos clientes.
4;D;Marta;garantizoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;D;subject;ungrammatical;mismatch;garantizoulle;masc;ser;Marta garantizoulle a Antonia ser máis afectuoso cos clientes.
4;E;Daniel;recomendoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;E;object;grammatical;match;recomendoulle;masc;ser;Daniel recomendoulle a Jesús ser máis afectuoso cos clientes.
4;F;Marta;recomendoulle;a;Jesús;ser;máis;afectuoso;cos clientes;4;F;object;grammatical;mismatch;recomendoulle;masc;ser;Marta recomendoulle a Jesús ser máis afectuoso cos clientes.
4;G;Daniel;recomendoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;G;object;ungrammatical;match;recomendoulle;masc;ser;Daniel recomendoulle a Antonia ser máis afectuoso cos clientes.
4;H;Marta;recomendoulle;a;Antonia;ser;máis;afectuoso;cos clientes;4;H;object;ungrammatical;mismatch;recomendoulle;masc;ser;Marta recomendoulle a Antonia ser máis afectuoso cos clientes.
5;A;Dolores;confirmoulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;A;subject;grammatical;match;confirmoulle;fem;ser;Dolores confirmoulle a Lucía ser sempre tan competitiva no traballo.
5;B;Dolores;confirmoulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;B;subject;grammatical;mismatch;confirmoulle;fem;ser;Dolores confirmoulle a Alejandro ser sempre tan competitiva no traballo.
5;C;Carlos;confirmoulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;C;subject;ungrammatical;match;confirmoulle;fem;ser;Carlos confirmoulle a Lucía ser sempre tan competitiva no traballo.
5;D;Carlos;confirmoulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;D;subject;ungrammatical;mismatch;confirmoulle;fem;ser;Carlos confirmoulle a Alejandro ser sempre tan competitiva no traballo.
5;E;Dolores;impediulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;E;object;grammatical;match;impediulle;fem;ser;Dolores impediulle a Lucía ser sempre tan competitiva no traballo.
5;F;Carlos;impediulle;a;Lucía;ser;sempre tan;competitiva;no traballo;5;F;object;grammatical;mismatch;impediulle;fem;ser;Carlos impediulle a Lucía ser sempre tan competitiva no traballo.
5;G;Dolores;impediulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;G;object;ungrammatical;match;impediulle;fem;ser;Dolores impediulle a Alejandro ser sempre tan competitiva no traballo.
5;H;Carlos;impediulle;a;Alejandro;ser;sempre tan;competitiva;no traballo;5;H;object;ungrammatical;mismatch;impediulle;fem;ser;Carlos impediulle a Alejandro ser sempre tan competitiva no traballo.
6;A;Miguel;desmentiulle;a;Rafael;ser;demasiado;cobizoso;cos beneficios;6;A;subject;grammatical;match;desmentiulle;masc;ser;Miguel desmentiulle a Rafael ser demasiado cobizoso cos beneficios.
6;B;Miguel;desmentiulle;a;Paula;ser;demasiado;cobizoso;cos beneficios;6;B;subject;grammatical;mismatch;desmentiulle;masc;ser;Miguel desmentiulle a Paula ser demasiado cobizoso cos beneficios.
6;C;Sara;desmentiulle;a;Rafael;ser;demasiado;cobizoso;cos beneficios;6;C;subject;ungrammatical;match;desmentiulle;masc;ser;Sara desmentiulle a Rafael ser demasiado cobizoso cos beneficios.
6;D;Sara;desmentiulle;a;Paula;ser;demasiado;cobizoso;cos beneficios;6;D;subject;ungrammatical;mismatch;desmentiulle;masc;ser;Sara desmentiulle a Paula ser demasiado cobizoso cos beneficios.
6;E;Miguel;prohibiulle;a;Rafael;ser;demasiado;cobizoso;cos beneficios;6;E;object;grammatical;match;prohibiulle;masc;ser;Miguel prohibiulle a Rafael ser demasiado cobizoso cos beneficios.
6;F;Sara;prohibiulle;a;Rafael;ser;demasiado;cobizoso;cos beneficios;6;F;object;grammatical;mismatch;prohibiulle;masc;ser;Sara prohibiulle a Rafael ser demasiado cobizoso cos beneficios.
6;G;Miguel;prohibiulle;a;Paula;ser;demasiado;cobizoso;cos beneficios;6;G;object;ungrammatical;match;prohibiulle;masc;ser;Miguel prohibiulle a Paula ser demasiado cobizoso cos beneficios.
6;H;Sara;prohibiulle;a;Paula;ser;demasiado;cobizoso;cos beneficios;6;H;object;ungrammatical;mismatch;prohibiulle;masc;ser;Sara prohibiulle a Paula ser demasiado cobizoso cos beneficios.
7;A;Elena;xuroulle;a;Pilar;ser;absolutamente;honesta;na declaración;7;A;subject;grammatical;match;xuroulle;fem;ser;Elena xuroulle a Pilar ser absolutamente honesta na declaración.
7;B;Elena;xuroulle;a;Ángel;ser;absolutamente;honesta;na declaración;7;B;subject;grammatical;mismatch;xuroulle;fem;ser;Elena xuroulle a Ángel ser absolutamente honesta na declaración.
7;C;Pedro;xuroulle;a;Pilar;ser;absolutamente;honesta;na declaración;7;C;subject;ungrammatical;match;xuroulle;fem;ser;Pedro xuroulle a Pilar ser absolutamente honesta na declaración.
7;D;Pedro;xuroulle;a;Ángel;ser;absolutamente;honesta;na declaración;7;D;subject;ungrammatical;mismatch;xuroulle;fem;ser;Pedro xuroulle a Ángel ser absolutamente honesta na declaración.
7;E;Elena;esixiulle;a;Pilar;ser;absolutamente;honesta;na declaración;7;E;object;grammatical;match;esixiulle;fem;ser;Elena esixiulle a Pilar ser absolutamente honesta na declaración.
7;F;Pedro;esixiulle;a;Pilar;ser;absolutamente;honesta;na declaración;7;F;object;grammatical;mismatch;esixiulle;fem;ser;Pedro esixiulle a Pilar ser absolutamente honesta na declaración.
7;G;Elena;esixiulle;a;Ángel;ser;absolutamente;honesta;na declaración;7;G;object;ungrammatical;match;esixiulle;fem;ser;Elena esixiulle a Ángel ser absolutamente honesta na declaración.
7;H;Pedro;esixiulle;a;Ángel;ser;absolutamente;honesta;na declaración;7;H;object;ungrammatical;mismatch;esixiulle;fem;ser;Pedro esixiulle a Ángel ser absolutamente honesta na declaración.
8;A;Pablo;aseguroulle;a;Fernando;ser;totalmente;sincero;sobre o ocurrido;8;A;subject;grammatical;match;aseguroulle;masc;ser;Pablo aseguroulle a Fernando ser totalmente sincero sobre o ocurrido.
8;B;Pablo;aseguroulle;a;Manuela;ser;totalmente;sincero;sobre o ocurrido;8;B;subject;grammatical;mismatch;aseguroulle;masc;ser;Pablo aseguroulle a Manuela ser totalmente sincero sobre o ocurrido.
8;C;Raquel;aseguroulle;a;Fernando;ser;totalmente;sincero;sobre o ocurrido;8;C;subject;ungrammatical;match;aseguroulle;masc;ser;Raquel aseguroulle a Fernando ser totalmente sincero sobre o ocurrido.
8;D;Raquel;aseguroulle;a;Manuela;ser;totalmente;sincero;sobre o ocurrido;8;D;subject;ungrammatical;mismatch;aseguroulle;masc;ser;Raquel aseguroulle a Manuela ser totalmente sincero sobre o ocurrido.
8;E;Pablo;ordenoulle;a;Fernando;ser;totalmente;sincero;sobre o ocurrido;8;E;object;grammatical;match;ordenoulle;masc;ser;Pablo ordenoulle a Fernando ser totalmente sincero sobre o ocurrido.
8;F;Raquel;ordenoulle;a;Fernando;ser;totalmente;sincero;sobre o ocurrido;8;F;object;grammatical;mismatch;ordenoulle;masc;ser;Raquel ordenoulle a Fernando ser totalmente sincero sobre o ocurrido.
8;G;Pablo;ordenoulle;a;Manuela;ser;totalmente;sincero;sobre o ocurrido;8;G;object;ungrammatical;match;ordenoulle;masc;ser;Pablo ordenoulle a Manuela ser totalmente sincero sobre o ocurrido.
8;H;Raquel;ordenoulle;a;Manuela;ser;totalmente;sincero;sobre o ocurrido;8;H;object;ungrammatical;mismatch;ordenoulle;masc;ser;Raquel ordenoulle a Manuela ser totalmente sincero sobre o ocurrido.
9;A;Mercedes;confesoulle;a;Juana;ser;un pouco;despreocupada;con papeleo;9;A;subject;grammatical;match;confesoulle;fem;ser;Mercedes confesoulle a Juana ser un pouco despreocupada con papeleo.
