item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;Ella le prometió a ella ser más ordenada con los apuntes.;2.0;0.04561614990234375;20.719818115234375
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;Ella le prometió a él ser más ordenada con los apuntes.;2.0;0.13531494140625;15.844322204589844
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;Él le prometió a ella ser más ordenada con los apuntes.;2.0;1.678009033203125;17.636749267578125
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;Él le prometió a él ser más ordenada con los apuntes.;2.0;5.2392425537109375;29.043651580810547
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;Ella le aconsejó a ella ser más ordenada con los apuntes.;2.0;0.08536529541015625;15.184669494628906
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a ella ser más ordenada con los apuntes.;2.0;0.0376129150390625;12.877628326416016
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;Ella le aconsejó a él ser más ordenada con los apuntes.;2.0;4.0389404296875;15.354110717773438
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a él ser más ordenada con los apuntes.;2.0;4.389396667480469;23.65768814086914
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Él le reconoció a él ser demasiado escrupuloso con la comida.;4.0;0.01686859130859375;18.666481018066406
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Él le reconoció a ella ser demasiado escrupuloso con la comida.;4.0;0.2457733154296875;16.103252410888672
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Ella le reconoció a él ser demasiado escrupuloso con la comida.;4.0;0.29190826416015625;15.558452606201172
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Ella le reconoció a ella ser demasiado escrupuloso con la comida.;4.0;2.1267166137695312;22.2366943359375
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Él le recriminó a él ser demasiado escrupuloso con la comida.;4.0;0.01206207275390625;18.540996551513672
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Ella le recriminó a él ser demasiado escrupuloso con la comida.;4.0;0.0261993408203125;14.671253204345703
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Él le recriminó a ella ser demasiado escrupuloso con la comida.;4.0;0.43206024169921875;17.280296325683594
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Ella le recriminó a ella ser demasiado escrupuloso con la comida.;4.0;0.7787017822265625;21.83834457397461
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ella le reveló a ella ser muy temerosa durante las tormentas.;2.0;0.25785064697265625;25.25278091430664
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ella le reveló a él ser muy temerosa durante las tormentas.;2.0;2.6631240844726562;22.201297760009766
3;C;Juan;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;C;subject;ungrammatical;match;reveló;fem;ser;Él le reveló a ella ser muy temerosa durante las tormentas.;2.0;0.2874603271484375;18.805904388427734
3;D;Juan;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;D;subject;ungrammatical;mismatch;reveló;fem;ser;Él le reveló a él ser muy temerosa durante las tormentas.;2.0;5.814857482910156;31.169326782226562
3;E;Ana;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;E;object;grammatical;match;reprochó;fem;ser;Ella le reprochó a ella ser muy temerosa durante las tormentas.;2.0;0.259674072265625;21.884193420410156
3;F;Juan;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;F;object;grammatical;mismatch;reprochó;fem;ser;Él le reprochó a ella ser muy temerosa durante las tormentas.;2.0;0.1829071044921875;16.743572235107422
3;G;Ana;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;G;object;ungrammatical;match;reprochó;fem;ser;Ella le reprochó a él ser muy temerosa durante las tormentas.;2.0;5.9437255859375;23.482128143310547
