item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;Ela prometeulle a ela ser máis ordenada coas notas.;1.0;11.064627647399902;36.983699798583984
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;Ela prometeulle a el ser máis ordenada coas notas.;1.0;13.960850715637207;44.949302196502686
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;El prometeulle a ela ser máis ordenada coas notas.;1.0;11.414397239685059;39.78834056854248
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;El prometeulle a el ser máis ordenada coas notas.;1.0;14.593610763549805;48.78956747055054
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;Ela aconselloulle a ela ser máis ordenada coas notas.;1.0;9.574724197387695;39.12799119949341
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a ela ser máis ordenada coas notas.;1.0;9.551041603088379;41.08448266983032
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;Ela aconselloulle a el ser máis ordenada coas notas.;1.0;13.150543212890625;47.886871337890625
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a el ser máis ordenada coas notas.;1.0;13.950857162475586;51.67874097824097
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;El recoñeceulle a el ser demasiado escrupuloso coa comida.;4.0;0.0043354034423828125;27.27742290496826
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;El recoñeceulle a ela ser demasiado escrupuloso coa comida.;4.0;1.6638717651367188;32.41041946411133
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Ela recoñeceulle a el ser demasiado escrupuloso coa comida.;4.0;0.00565338134765625;26.85475206375122
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Ela recoñeceulle a ela ser demasiado escrupuloso coa comida.;4.0;0.32985782623291016;27.49791193008423
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;El recriminoulle a el ser demasiado escrupuloso coa comida.;4.0;0.0009250640869140625;19.24677562713623
2;F;Isabel;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;F;object;grammatical;mismatch;recriminoulle;masc;ser;Ela recriminoulle a el ser demasiado escrupuloso coa comida.;4.0;0.000762939453125;20.661638259887695
2;G;Francisco;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;G;object;ungrammatical;match;recriminoulle;masc;ser;El recriminoulle a ela ser demasiado escrupuloso coa comida.;4.0;2.0396461486816406;23.482675552368164
2;H;Isabel;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;H;object;ungrammatical;mismatch;recriminoulle;masc;ser;Ela recriminoulle a ela ser demasiado escrupuloso coa comida.;4.0;1.5353050231933594;23.4436354637146
3;A;Ana;reveloulle;a;Cristina;ser;moi;temerosa;durante as tormentas;3;A;subject;grammatical;match;reveloulle;fem;ser;Ela reveloulle a ela ser moi temerosa durante as tormentas.;3.0;0.0060062408447265625;23.82351589202881
3;B;Ana;reveloulle;a;Javier;ser;moi;temerosa;durante as tormentas;3;B;subject;grammatical;mismatch;reveloulle;fem;ser;Ela reveloulle a el ser moi temerosa durante as tormentas.;3.0;6.162689208984375;30.15554714202881
