item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;Ela prometeulle a ela ser máis ordenada coas notas.;1.0;7.689395904541016;29.334994316101074
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;Ela prometeulle a el ser máis ordenada coas notas.;1.0;9.261445999145508;31.93579864501953
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;El prometeulle a ela ser máis ordenada coas notas.;1.0;7.555037498474121;30.19057846069336
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;El prometeulle a el ser máis ordenada coas notas.;1.0;9.62037467956543;33.45821237564087
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;Ela aconselloulle a ela ser máis ordenada coas notas.;1.0;7.993552207946777;27.423471450805664
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a ela ser máis ordenada coas notas.;1.0;8.045526504516602;28.23299551010132
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;Ela aconselloulle a el ser máis ordenada coas notas.;1.0;10.186782836914062;30.81860113143921
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a el ser máis ordenada coas notas.;1.0;10.443536758422852;30.91437530517578
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;El recoñeceulle a el ser demasiado escrupuloso coa comida.;1.0;4.859884262084961;23.982945442199707
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;El recoñeceulle a ela ser demasiado escrupuloso coa comida.;1.0;6.33098030090332;26.508184909820557
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Ela recoñeceulle a el ser demasiado escrupuloso coa comida.;1.0;5.317933082580566;24.523463249206543
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Ela recoñeceulle a ela ser demasiado escrupuloso coa comida.;1.0;6.431365013122559;26.023460388183594
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;El recriminoulle a el ser demasiado escrupuloso coa comida.;1.0;4.608746528625488;22.807273864746094
2;F;Isabel;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;F;object;grammatical;mismatch;recriminoulle;masc;ser;Ela recriminoulle a el ser demasiado escrupuloso coa comida.;1.0;4.854528427124023;22.469913482666016
2;G;Francisco;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;G;object;ungrammatical;match;recriminoulle;masc;ser;El recriminoulle a ela ser demasiado escrupuloso coa comida.;1.0;6.013270378112793;24.623910903930664
