item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;María le prometió a Carmen ser más ordenada con los apuntes.;2.0;0.0551300048828125;24.993549346923828
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;María le prometió a Manuel ser más ordenada con los apuntes.;2.0;1.0842132568359375;25.555343627929688
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;José le prometió a Carmen ser más ordenada con los apuntes.;2.0;0.5644378662109375;28.111003875732422
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;José le prometió a Manuel ser más ordenada con los apuntes.;2.0;5.561347961425781;34.58609390258789
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;María le aconsejó a Carmen ser más ordenada con los apuntes.;2.0;0.08650970458984375;21.33702850341797
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Carmen ser más ordenada con los apuntes.;2.0;0.1247711181640625;23.47342300415039
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;María le aconsejó a Manuel ser más ordenada con los apuntes.;2.0;3.8189010620117188;23.83863067626953
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Manuel ser más ordenada con los apuntes.;2.0;4.8557586669921875;28.598472595214844
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Francisco le reconoció a David ser demasiado escrupuloso con la comida.;4.0;0.00902557373046875;25.643177032470703
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Francisco le reconoció a Laura ser demasiado escrupuloso con la comida.;4.0;0.5864181518554688;26.709583282470703
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Isabel le reconoció a David ser demasiado escrupuloso con la comida.;4.0;0.03985595703125;25.240489959716797
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Isabel le reconoció a Laura ser demasiado escrupuloso con la comida.;4.0;2.2716293334960938;28.21044158935547
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Francisco le recriminó a David ser demasiado escrupuloso con la comida.;4.0;0.0066986083984375;26.06610870361328
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a David ser demasiado escrupuloso con la comida.;4.0;0.01074981689453125;26.686595916748047
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Francisco le recriminó a Laura ser demasiado escrupuloso con la comida.;4.0;0.6885833740234375;26.628753662109375
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a Laura ser demasiado escrupuloso con la comida.;4.0;1.1279449462890625;26.504558563232422
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ana le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;0.25603485107421875;28.154739379882812
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ana le reveló a Javier ser muy temerosa durante las tormentas.;2.0;2.9106521606445312;31.937408447265625
3;C;Juan;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;C;subject;ungrammatical;match;reveló;fem;ser;Juan le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;0.24199676513671875;29.941082000732422
3;D;Juan;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;D;subject;ungrammatical;mismatch;reveló;fem;ser;Juan le reveló a Javier ser muy temerosa durante las tormentas.;2.0;5.5637054443359375;39.13848876953125
3;E;Ana;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;E;object;grammatical;match;reprochó;fem;ser;Ana le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.2603607177734375;27.51422882080078
3;F;Juan;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;F;object;grammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.2115478515625;27.85006332397461
3;G;Ana;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;G;object;ungrammatical;match;reprochó;fem;ser;Ana le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;4.890289306640625;32.86891174316406
3;H;Juan;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;H;object;ungrammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;6.101898193359375;37.065067291259766
4;A;Daniel;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;A;subject;grammatical;match;garantizó;masc;ser;Daniel le garantizó a Jesús ser más afectuoso con los clientes.;4.0;0.01235198974609375;29.43962860107422
4;B;Daniel;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;B;subject;grammatical;mismatch;garantizó;masc;ser;Daniel le garantizó a Antonia ser más afectuoso con los clientes.;4.0;2.6079940795898438;30.826026916503906
4;C;Marta;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;C;subject;ungrammatical;match;garantizó;masc;ser;Marta le garantizó a Jesús ser más afectuoso con los clientes.;4.0;0.0273284912109375;30.124530792236328
4;D;Marta;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;D;subject;ungrammatical;mismatch;garantizó;masc;ser;Marta le garantizó a Antonia ser más afectuoso con los clientes.;4.0;4.235038757324219;34.04693603515625
4;E;Daniel;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;E;object;grammatical;match;recomendó;masc;ser;Daniel le recomendó a Jesús ser más afectuoso con los clientes.;4.0;0.046844482421875;20.796215057373047
4;F;Marta;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;F;object;grammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Jesús ser más afectuoso con los clientes.;4.0;0.09952545166015625;21.832637786865234
4;G;Daniel;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;G;object;ungrammatical;match;recomendó;masc;ser;Daniel le recomendó a Antonia ser más afectuoso con los clientes.;4.0;2.9311981201171875;23.89844512939453
4;H;Marta;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;H;object;ungrammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Antonia ser más afectuoso con los clientes.;4.0;3.4061203002929688;25.841304779052734
5;A;Dolores;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;A;subject;grammatical;match;confirmó;fem;ser;Dolores le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.705997467041016;35.10124588012695
5;B;Dolores;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;B;subject;grammatical;mismatch;confirmó;fem;ser;Dolores le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;8.97393798828125;41.93181228637695
5;C;Carlos;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;C;subject;ungrammatical;match;confirmó;fem;ser;Carlos le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.726448059082031;39.71371841430664
5;D;Carlos;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;D;subject;ungrammatical;mismatch;confirmó;fem;ser;Carlos le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;11.175338745117188;50.76148223876953
5;E;Dolores;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;E;object;grammatical;match;impidió;fem;ser;Dolores le impidió a Lucía ser siempre tan competitiva en el trabajo.;1.0;5.345252990722656;26.339351654052734
5;F;Carlos;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;F;object;grammatical;mismatch;impidió;fem;ser;Carlos le impidió a Lucía ser siempre tan competitiva en el trabajo.;1.0;5.070117950439453;33.7660026550293
5;G;Dolores;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;G;object;ungrammatical;match;impidió;fem;ser;Dolores le impidió a Alejandro ser siempre tan competitiva en el trabajo.;1.0;9.397571563720703;38.363189697265625
5;H;Carlos;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;H;object;ungrammatical;mismatch;impidió;fem;ser;Carlos le impidió a Alejandro ser siempre tan competitiva en el trabajo.;1.0;9.58587646484375;46.591102600097656
