item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;María prometeulle a Carmen ser máis ordenada coas notas.;1.0;11.815600395202637;48.97711992263794
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;María prometeulle a Manuel ser máis ordenada coas notas.;1.0;14.107770919799805;55.101176261901855
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;José prometeulle a Carmen ser máis ordenada coas notas.;1.0;11.408464431762695;46.22144842147827
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;José prometeulle a Manuel ser máis ordenada coas notas.;1.0;14.003748893737793;51.324928283691406
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;María aconselloulle a Carmen ser máis ordenada coas notas.;1.0;10.227762222290039;43.641643047332764
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Carmen ser máis ordenada coas notas.;1.0;9.846492767333984;43.674593925476074
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;María aconselloulle a Manuel ser máis ordenada coas notas.;1.0;12.311716079711914;47.67156744003296
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Manuel ser máis ordenada coas notas.;1.0;12.514154434204102;47.11391019821167
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;Francisco recoñeceulle a David ser demasiado escrupuloso coa comida.;4.0;0.09775829315185547;40.761656761169434
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;Francisco recoñeceulle a Laura ser demasiado escrupuloso coa comida.;4.0;1.036005973815918;45.79482650756836
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Isabel recoñeceulle a David ser demasiado escrupuloso coa comida.;4.0;0.07118988037109375;38.46298027038574
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Isabel recoñeceulle a Laura ser demasiado escrupuloso coa comida.;4.0;0.6829690933227539;49.518269062042236
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;Francisco recriminoulle a David ser demasiado escrupuloso coa comida.;4.0;0.07369327545166016;31.747355937957764
