item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;Ella le prometió a ella ser más ordenada con los apuntes.;1.0;5.599261283874512;32.4860258102417
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;Ella le prometió a él ser más ordenada con los apuntes.;1.0;7.3277201652526855;31.324793815612793
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;Él le prometió a ella ser más ordenada con los apuntes.;1.0;6.484570503234863;29.781594276428223
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;Él le prometió a él ser más ordenada con los apuntes.;1.0;8.534339904785156;39.458457946777344
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;Ella le aconsejó a ella ser más ordenada con los apuntes.;1.0;5.16389274597168;22.421437740325928
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a ella ser más ordenada con los apuntes.;1.0;5.5025529861450195;19.661331176757812
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;Ella le aconsejó a él ser más ordenada con los apuntes.;1.0;8.176980972290039;25.154128074645996
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a él ser más ordenada con los apuntes.;1.0;7.957988262176514;28.368363857269287
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Él le reconoció a él ser demasiado escrupuloso con la comida.;3.0;0.0063152313232421875;21.516796112060547
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Él le reconoció a ella ser demasiado escrupuloso con la comida.;3.0;0.06225776672363281;18.76426601409912
