item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;María le prometió a Carmen ser más ordenada con los apuntes.;1.0;7.671480655670166;33.687119007110596
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;María le prometió a Manuel ser más ordenada con los apuntes.;1.0;7.889457702636719;34.28134250640869
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;José le prometió a Carmen ser más ordenada con los apuntes.;1.0;9.757655143737793;37.85976600646973
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;José le prometió a Manuel ser más ordenada con los apuntes.;1.0;12.84260368347168;48.173728942871094
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;María le aconsejó a Carmen ser más ordenada con los apuntes.;1.0;6.387706756591797;24.782413482666016
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Carmen ser más ordenada con los apuntes.;1.0;6.741366863250732;26.380469799041748
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;María le aconsejó a Manuel ser más ordenada con los apuntes.;1.0;9.90435791015625;29.600751876831055
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Manuel ser más ordenada con los apuntes.;1.0;10.77094841003418;35.61090421676636
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Francisco le reconoció a David ser demasiado escrupuloso con la comida.;3.0;0.05547523498535156;29.11741828918457
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Francisco le reconoció a Laura ser demasiado escrupuloso con la comida.;3.0;1.4501667022705078;31.85318946838379
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Isabel le reconoció a David ser demasiado escrupuloso con la comida.;3.0;0.13354110717773438;25.618061065673828
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Isabel le reconoció a Laura ser demasiado escrupuloso con la comida.;3.0;3.2786664962768555;35.353336334228516
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Francisco le recriminó a David ser demasiado escrupuloso con la comida.;3.0;0.10281562805175781;21.159696102142334
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a David ser demasiado escrupuloso con la comida.;3.0;0.13555908203125;19.538687229156494
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Francisco le recriminó a Laura ser demasiado escrupuloso con la comida.;3.0;2.268167495727539;25.060938835144043
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a Laura ser demasiado escrupuloso con la comida.;3.0;2.832456588745117;29.776069164276123
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ana le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;2.331087112426758;33.82298564910889
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ana le reveló a Javier ser muy temerosa durante las tormentas.;2.0;3.1600990295410156;30.847726821899414
3;C;Juan;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;C;subject;ungrammatical;match;reveló;fem;ser;Juan le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;4.097282409667969;40.25723123550415
3;D;Juan;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;D;subject;ungrammatical;mismatch;reveló;fem;ser;Juan le reveló a Javier ser muy temerosa durante las tormentas.;2.0;5.84520149230957;45.452523708343506
3;E;Ana;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;E;object;grammatical;match;reprochó;fem;ser;Ana le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.3186664581298828;25.577948093414307
3;F;Juan;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;F;object;grammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.49706077575683594;30.138314247131348
3;G;Ana;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;G;object;ungrammatical;match;reprochó;fem;ser;Ana le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;3.9581069946289062;25.83073329925537
3;H;Juan;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;H;object;ungrammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;4.601800918579102;37.01709175109863
4;A;Daniel;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;A;subject;grammatical;match;garantizó;masc;ser;Daniel le garantizó a Jesús ser más afectuoso con los clientes.;2.0;0.06971168518066406;29.83957529067993
4;B;Daniel;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;B;subject;grammatical;mismatch;garantizó;masc;ser;Daniel le garantizó a Antonia ser más afectuoso con los clientes.;2.0;1.2699871063232422;39.66493463516235
4;C;Marta;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;C;subject;ungrammatical;match;garantizó;masc;ser;Marta le garantizó a Jesús ser más afectuoso con los clientes.;2.0;0.2433032989501953;29.41312885284424
4;D;Marta;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;D;subject;ungrammatical;mismatch;garantizó;masc;ser;Marta le garantizó a Antonia ser más afectuoso con los clientes.;2.0;2.4135818481445312;41.074204444885254
4;E;Daniel;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;E;object;grammatical;match;recomendó;masc;ser;Daniel le recomendó a Jesús ser más afectuoso con los clientes.;2.0;0.05078697204589844;22.93488121032715
4;F;Marta;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;F;object;grammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Jesús ser más afectuoso con los clientes.;2.0;0.08511924743652344;20.602369785308838
4;G;Daniel;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;G;object;ungrammatical;match;recomendó;masc;ser;Daniel le recomendó a Antonia ser más afectuoso con los clientes.;2.0;1.3356494903564453;26.5372314453125
4;H;Marta;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;H;object;ungrammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Antonia ser más afectuoso con los clientes.;2.0;2.043701171875;25.88792610168457
5;A;Dolores;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;A;subject;grammatical;match;confirmó;fem;ser;Dolores le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.960530757904053;43.16097021102905
5;B;Dolores;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;B;subject;grammatical;mismatch;confirmó;fem;ser;Dolores le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;7.959770679473877;47.879337787628174
5;C;Carlos;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;C;subject;ungrammatical;match;confirmó;fem;ser;Carlos le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.96931266784668;46.20161056518555
5;D;Carlos;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;D;subject;ungrammatical;mismatch;confirmó;fem;ser;Carlos le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;9.774843215942383;52.017409801483154
5;E;Dolores;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;E;object;grammatical;match;impidió;fem;ser;Dolores le impidió a Lucía ser siempre tan competitiva en el trabajo.;1.0;6.89840841293335;41.57143974304199
