item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;Ela prometeulle a ela ser máis ordenada coas notas.;2.0;0.059368133544921875;23.75560760498047
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;Ela prometeulle a el ser máis ordenada coas notas.;2.0;2.128734588623047;23.25827407836914
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;El prometeulle a ela ser máis ordenada coas notas.;2.0;2.7321548461914062;22.664875030517578
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;El prometeulle a el ser máis ordenada coas notas.;2.0;5.101997375488281;34.107540130615234
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;Ela aconselloulle a ela ser máis ordenada coas notas.;2.0;0.03171539306640625;18.24701690673828
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a ela ser máis ordenada coas notas.;2.0;0.03692626953125;14.667076110839844
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;Ela aconselloulle a el ser máis ordenada coas notas.;2.0;5.687755584716797;21.800315856933594
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;El aconselloulle a el ser máis ordenada coas notas.;2.0;5.864048004150391;26.867172241210938
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;El recoñeceulle a el ser demasiado escrupuloso coa comida.;4.0;0.0040283203125;31.157690048217773
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;El recoñeceulle a ela ser demasiado escrupuloso coa comida.;4.0;0.01061248779296875;21.2750244140625
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Ela recoñeceulle a el ser demasiado escrupuloso coa comida.;4.0;0.82305908203125;27.168582916259766
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Ela recoñeceulle a ela ser demasiado escrupuloso coa comida.;4.0;4.8380889892578125;32.0682258605957
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;El recriminoulle a el ser demasiado escrupuloso coa comida.;4.0;0.01055145263671875;41.829830169677734
