item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;Ella le prometió a ella ser más ordenada con los apuntes.;1.0;6.721385955810547;26.662126541137695
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;Ella le prometió a él ser más ordenada con los apuntes.;1.0;10.120467185974121;31.033451080322266
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;Él le prometió a ella ser más ordenada con los apuntes.;1.0;6.835925102233887;51.224342823028564
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;Él le prometió a él ser más ordenada con los apuntes.;1.0;10.296333312988281;59.05136775970459
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;Ella le aconsejó a ella ser más ordenada con los apuntes.;1.0;5.70137882232666;20.100037574768066
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a ella ser más ordenada con los apuntes.;1.0;5.754416465759277;42.02575635910034
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;Ella le aconsejó a él ser más ordenada con los apuntes.;1.0;11.555233001708984;27.671916961669922
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a él ser más ordenada con los apuntes.;1.0;10.72079086303711;51.113759994506836
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Él le reconoció a él ser demasiado escrupuloso con la comida.;3.0;0.28838157653808594;47.14982509613037
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Él le reconoció a ella ser demasiado escrupuloso con la comida.;3.0;1.6440515518188477;51.06907796859741
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Ella le reconoció a él ser demasiado escrupuloso con la comida.;3.0;0.10345840454101562;25.757824897766113
