item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;María le prometió a Carmen ser más ordenada con los apuntes.;2.0;0.01187896728515625;14.403881072998047
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;María le prometió a Manuel ser más ordenada con los apuntes.;2.0;2.4469985961914062;16.680400848388672
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;José le prometió a Carmen ser más ordenada con los apuntes.;2.0;0.07976531982421875;13.11440658569336
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;José le prometió a Manuel ser más ordenada con los apuntes.;2.0;6.006004333496094;26.013671875
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;María le aconsejó a Carmen ser más ordenada con los apuntes.;2.0;0.00727081298828125;13.42348861694336
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Carmen ser más ordenada con los apuntes.;2.0;0.00829315185546875;11.0560302734375
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;María le aconsejó a Manuel ser más ordenada con los apuntes.;2.0;5.7344512939453125;24.158676147460938
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Manuel ser más ordenada con los apuntes.;2.0;6.424751281738281;25.586944580078125
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Francisco le reconoció a David ser demasiado escrupuloso con la comida.;4.0;0.00420379638671875;28.780296325683594
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Francisco le reconoció a Laura ser demasiado escrupuloso con la comida.;4.0;1.5346908569335938;29.573070526123047
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Isabel le reconoció a David ser demasiado escrupuloso con la comida.;4.0;0.10382843017578125;28.207942962646484
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Isabel le reconoció a Laura ser demasiado escrupuloso con la comida.;4.0;5.97589111328125;40.26580047607422
