item;cond;NP1;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;A;subject;grammatical;match;prometeulle;fem;ser;María prometeulle a Carmen ser máis ordenada coas notas.;1.0;6.71062707901001;32.38098430633545
1;B;María;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;B;subject;grammatical;mismatch;prometeulle;fem;ser;María prometeulle a Manuel ser máis ordenada coas notas.;1.0;8.75040054321289;34.11974334716797
1;C;José;prometeulle;a;Carmen;ser;máis;ordenada;coas notas;1;C;subject;ungrammatical;match;prometeulle;fem;ser;José prometeulle a Carmen ser máis ordenada coas notas.;1.0;7.054492950439453;33.02476263046265
1;D;José;prometeulle;a;Manuel;ser;máis;ordenada;coas notas;1;D;subject;ungrammatical;mismatch;prometeulle;fem;ser;José prometeulle a Manuel ser máis ordenada coas notas.;1.0;9.618631362915039;38.8076958656311
1;E;María;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;E;object;grammatical;match;aconselloulle;fem;ser;María aconselloulle a Carmen ser máis ordenada coas notas.;1.0;7.099541664123535;28.811429023742676
1;F;José;aconselloulle;a;Carmen;ser;máis;ordenada;coas notas;1;F;object;grammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Carmen ser máis ordenada coas notas.;1.0;7.5243306159973145;29.72065496444702
1;G;María;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;G;object;ungrammatical;match;aconselloulle;fem;ser;María aconselloulle a Manuel ser máis ordenada coas notas.;1.0;9.991360664367676;31.18659019470215
1;H;José;aconselloulle;a;Manuel;ser;máis;ordenada;coas notas;1;H;object;ungrammatical;mismatch;aconselloulle;fem;ser;José aconselloulle a Manuel ser máis ordenada coas notas.;1.0;10.22475528717041;33.34983682632446
2;A;Francisco;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;A;subject;grammatical;match;recoñeceulle;masc;ser;Francisco recoñeceulle a David ser demasiado escrupuloso coa comida.;1.0;4.778322219848633;33.392457485198975
2;B;Francisco;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;B;subject;grammatical;mismatch;recoñeceulle;masc;ser;Francisco recoñeceulle a Laura ser demasiado escrupuloso coa comida.;1.0;5.224062919616699;33.26018524169922
2;C;Isabel;recoñeceulle;a;David;ser;demasiado;escrupuloso;coa comida;2;C;subject;ungrammatical;match;recoñeceulle;masc;ser;Isabel recoñeceulle a David ser demasiado escrupuloso coa comida.;1.0;5.084334373474121;31.333529472351074
2;D;Isabel;recoñeceulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;D;subject;ungrammatical;mismatch;recoñeceulle;masc;ser;Isabel recoñeceulle a Laura ser demasiado escrupuloso coa comida.;1.0;6.3073883056640625;32.947834491729736
2;E;Francisco;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;E;object;grammatical;match;recriminoulle;masc;ser;Francisco recriminoulle a David ser demasiado escrupuloso coa comida.;1.0;4.512691497802734;30.797142028808594
2;F;Isabel;recriminoulle;a;David;ser;demasiado;escrupuloso;coa comida;2;F;object;grammatical;mismatch;recriminoulle;masc;ser;Isabel recriminoulle a David ser demasiado escrupuloso coa comida.;1.0;4.645149230957031;28.087807178497314
2;G;Francisco;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;G;object;ungrammatical;match;recriminoulle;masc;ser;Francisco recriminoulle a Laura ser demasiado escrupuloso coa comida.;1.0;5.01724910736084;29.543379306793213
2;H;Isabel;recriminoulle;a;Laura;ser;demasiado;escrupuloso;coa comida;2;H;object;ungrammatical;mismatch;recriminoulle;masc;ser;Isabel recriminoulle a Laura ser demasiado escrupuloso coa comida.;1.0;5.750802993774414;29.134599685668945
