item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;María le prometió a Carmen ser más ordenada con los apuntes.;1.0;6.434770584106445;31.171310424804688
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;María le prometió a Manuel ser más ordenada con los apuntes.;1.0;8.044219970703125;32.13894605636597
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;José le prometió a Carmen ser más ordenada con los apuntes.;1.0;6.131519317626953;60.44773292541504
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;José le prometió a Manuel ser más ordenada con los apuntes.;1.0;10.653539657592773;65.96235418319702
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;María le aconsejó a Carmen ser más ordenada con los apuntes.;1.0;5.75350284576416;28.47511863708496
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Carmen ser más ordenada con los apuntes.;1.0;5.4377546310424805;55.58375644683838
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;María le aconsejó a Manuel ser más ordenada con los apuntes.;1.0;10.198771476745605;31.178552627563477
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;José le aconsejó a Manuel ser más ordenada con los apuntes.;1.0;10.99888801574707;59.81670093536377
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Francisco le reconoció a David ser demasiado escrupuloso con la comida.;3.0;0.028278350830078125;35.65887260437012
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Francisco le reconoció a Laura ser demasiado escrupuloso con la comida.;3.0;0.7588558197021484;36.54533052444458
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Isabel le reconoció a David ser demasiado escrupuloso con la comida.;3.0;0.2346057891845703;31.67656707763672
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Isabel le reconoció a Laura ser demasiado escrupuloso con la comida.;3.0;2.6801223754882812;38.73374080657959
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Francisco le recriminó a David ser demasiado escrupuloso con la comida.;3.0;0.03335380554199219;27.13747501373291
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a David ser demasiado escrupuloso con la comida.;3.0;0.12807273864746094;22.56072235107422
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Francisco le recriminó a Laura ser demasiado escrupuloso con la comida.;3.0;1.247568130493164;33.020713806152344
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Isabel le recriminó a Laura ser demasiado escrupuloso con la comida.;3.0;2.4906234741210938;33.452603816986084
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ana le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;0.7286472320556641;35.892590045928955
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ana le reveló a Javier ser muy temerosa durante las tormentas.;2.0;3.749274253845215;73.27971172332764
3;C;Juan;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;C;subject;ungrammatical;match;reveló;fem;ser;Juan le reveló a Cristina ser muy temerosa durante las tormentas.;2.0;1.3596420288085938;59.805880546569824
3;D;Juan;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;D;subject;ungrammatical;mismatch;reveló;fem;ser;Juan le reveló a Javier ser muy temerosa durante las tormentas.;2.0;10.392175674438477;97.24953079223633
3;E;Ana;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;E;object;grammatical;match;reprochó;fem;ser;Ana le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.5033550262451172;31.755934715270996
3;F;Juan;le;reprochó;a;Cristina;ser;muy;temerosa;durante las tormentas;3;F;object;grammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Cristina ser muy temerosa durante las tormentas.;2.0;0.26888465881347656;56.537485122680664
3;G;Ana;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;G;object;ungrammatical;match;reprochó;fem;ser;Ana le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;1.393366813659668;60.9745512008667
3;H;Juan;le;reprochó;a;Javier;ser;muy;temerosa;durante las tormentas;3;H;object;ungrammatical;mismatch;reprochó;fem;ser;Juan le reprochó a Javier ser muy temerosa durante las tormentas.;2.0;8.760198593139648;102.30939435958862
4;A;Daniel;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;A;subject;grammatical;match;garantizó;masc;ser;Daniel le garantizó a Jesús ser más afectuoso con los clientes.;2.0;0.3446502685546875;56.86057376861572
4;B;Daniel;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;B;subject;grammatical;mismatch;garantizó;masc;ser;Daniel le garantizó a Antonia ser más afectuoso con los clientes.;2.0;1.4810905456542969;26.369154930114746
4;C;Marta;le;garantizó;a;Jesús;ser;más;afectuoso;con los clientes;4;C;subject;ungrammatical;match;garantizó;masc;ser;Marta le garantizó a Jesús ser más afectuoso con los clientes.;2.0;0.4899311065673828;61.5726261138916
4;D;Marta;le;garantizó;a;Antonia;ser;más;afectuoso;con los clientes;4;D;subject;ungrammatical;mismatch;garantizó;masc;ser;Marta le garantizó a Antonia ser más afectuoso con los clientes.;2.0;3.397562026977539;30.83784008026123
4;E;Daniel;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;E;object;grammatical;match;recomendó;masc;ser;Daniel le recomendó a Jesús ser más afectuoso con los clientes.;2.0;0.6108150482177734;55.16617298126221
4;F;Marta;le;recomendó;a;Jesús;ser;más;afectuoso;con los clientes;4;F;object;grammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Jesús ser más afectuoso con los clientes.;2.0;0.5539731979370117;58.906057357788086
4;G;Daniel;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;G;object;ungrammatical;match;recomendó;masc;ser;Daniel le recomendó a Antonia ser más afectuoso con los clientes.;2.0;1.6375179290771484;27.637187004089355
4;H;Marta;le;recomendó;a;Antonia;ser;más;afectuoso;con los clientes;4;H;object;ungrammatical;mismatch;recomendó;masc;ser;Marta le recomendó a Antonia ser más afectuoso con los clientes.;2.0;2.9670257568359375;30.92281150817871
5;A;Dolores;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;A;subject;grammatical;match;confirmó;fem;ser;Dolores le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.2325944900512695;45.42021942138672
5;B;Dolores;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;B;subject;grammatical;mismatch;confirmó;fem;ser;Dolores le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;8.80325698852539;48.74043798446655
5;C;Carlos;le;confirmó;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;C;subject;ungrammatical;match;confirmó;fem;ser;Carlos le confirmó a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.06492805480957;39.625871658325195
5;D;Carlos;le;confirmó;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;D;subject;ungrammatical;mismatch;confirmó;fem;ser;Carlos le confirmó a Alejandro ser siempre tan competitiva en el trabajo.;1.0;10.222494125366211;46.00607395172119
5;E;Dolores;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;E;object;grammatical;match;impidió;fem;ser;Dolores le impidió a Lucía ser siempre tan competitiva en el trabajo.;1.0;7.068575859069824;40.70172834396362
5;F;Carlos;le;impidió;a;Lucía;ser;siempre tan;competitiva;en el trabajo;5;F;object;grammatical;mismatch;impidió;fem;ser;Carlos le impidió a Lucía ser siempre tan competitiva en el trabajo.;1.0;6.586444854736328;38.32821846008301
5;G;Dolores;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;G;object;ungrammatical;match;impidió;fem;ser;Dolores le impidió a Alejandro ser siempre tan competitiva en el trabajo.;1.0;11.0762939453125;45.44658279418945
5;H;Carlos;le;impidió;a;Alejandro;ser;siempre tan;competitiva;en el trabajo;5;H;object;ungrammatical;mismatch;impidió;fem;ser;Carlos le impidió a Alejandro ser siempre tan competitiva en el trabajo.;1.0;10.795398712158203;44.31575393676758
6;A;Miguel;le;desmintió;a;Rafael;ser;demasiado;codicioso;con los beneficios;6;A;subject;grammatical;match;desmintió;masc;ser;Miguel le desmintió a Rafael ser demasiado codicioso con los beneficios.;2.0;0.11623573303222656;37.69234228134155
6;B;Miguel;le;desmintió;a;Paula;ser;demasiado;codicioso;con los beneficios;6;B;subject;grammatical;mismatch;desmintió;masc;ser;Miguel le desmintió a Paula ser demasiado codicioso con los beneficios.;2.0;1.5121269226074219;51.49093151092529
