item;cond;NP1;le;C.VB;A;NP2;inf;ADV;ADJ;PP;item.1;cond.1;control;grammaticality;distractor;control_verb;adj_gender;infinitive;sentence;adj_tokenization_len;adj_surprisal;sentence_surprisal
1;A;María;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;A;subject;grammatical;match;prometió;fem;ser;Ella le prometió a ella ser más ordenada con los apuntes.;2.0;0.44997406005859375;29.336634635925293
1;B;María;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;B;subject;grammatical;mismatch;prometió;fem;ser;Ella le prometió a él ser más ordenada con los apuntes.;2.0;4.438287734985352;37.02476406097412
1;C;José;le;prometió;a;Carmen;ser;más;ordenada;con los apuntes;1;C;subject;ungrammatical;match;prometió;fem;ser;Él le prometió a ella ser más ordenada con los apuntes.;2.0;0.3675804138183594;29.61057758331299
1;D;José;le;prometió;a;Manuel;ser;más;ordenada;con los apuntes;1;D;subject;ungrammatical;mismatch;prometió;fem;ser;Él le prometió a él ser más ordenada con los apuntes.;2.0;4.631376266479492;40.49176788330078
1;E;María;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;E;object;grammatical;match;aconsejó;fem;ser;Ella le aconsejó a ella ser más ordenada con los apuntes.;2.0;0.4410591125488281;33.40588569641113
1;F;José;le;aconsejó;a;Carmen;ser;más;ordenada;con los apuntes;1;F;object;grammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a ella ser más ordenada con los apuntes.;2.0;0.3436603546142578;34.123435974121094
1;G;María;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;G;object;ungrammatical;match;aconsejó;fem;ser;Ella le aconsejó a él ser más ordenada con los apuntes.;2.0;3.7813539505004883;40.85800838470459
1;H;José;le;aconsejó;a;Manuel;ser;más;ordenada;con los apuntes;1;H;object;ungrammatical;mismatch;aconsejó;fem;ser;Él le aconsejó a él ser más ordenada con los apuntes.;2.0;4.144207000732422;43.577571868896484
2;A;Francisco;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;A;subject;grammatical;match;reconoció;masc;ser;Él le reconoció a él ser demasiado escrupuloso con la comida.;5.0;0.1603546142578125;30.066832542419434
2;B;Francisco;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;B;subject;grammatical;mismatch;reconoció;masc;ser;Él le reconoció a ella ser demasiado escrupuloso con la comida.;5.0;2.600078582763672;35.25732755661011
2;C;Isabel;le;reconoció;a;David;ser;demasiado;escrupuloso;con la comida;2;C;subject;ungrammatical;match;reconoció;masc;ser;Ella le reconoció a él ser demasiado escrupuloso con la comida.;5.0;0.10692405700683594;31.1151762008667
2;D;Isabel;le;reconoció;a;Laura;ser;demasiado;escrupuloso;con la comida;2;D;subject;ungrammatical;mismatch;reconoció;masc;ser;Ella le reconoció a ella ser demasiado escrupuloso con la comida.;5.0;1.9705219268798828;34.18890857696533
2;E;Francisco;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;E;object;grammatical;match;recriminó;masc;ser;Él le recriminó a él ser demasiado escrupuloso con la comida.;5.0;0.39286041259765625;32.72094440460205
2;F;Isabel;le;recriminó;a;David;ser;demasiado;escrupuloso;con la comida;2;F;object;grammatical;mismatch;recriminó;masc;ser;Ella le recriminó a él ser demasiado escrupuloso con la comida.;5.0;0.26198387145996094;31.84217071533203
2;G;Francisco;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;G;object;ungrammatical;match;recriminó;masc;ser;Él le recriminó a ella ser demasiado escrupuloso con la comida.;5.0;3.2213821411132812;39.0925350189209
2;H;Isabel;le;recriminó;a;Laura;ser;demasiado;escrupuloso;con la comida;2;H;object;ungrammatical;mismatch;recriminó;masc;ser;Ella le recriminó a ella ser demasiado escrupuloso con la comida.;5.0;2.4684276580810547;36.20508575439453
3;A;Ana;le;reveló;a;Cristina;ser;muy;temerosa;durante las tormentas;3;A;subject;grammatical;match;reveló;fem;ser;Ella le reveló a ella ser muy temerosa durante las tormentas.;2.0;1.5610933303833008;22.814281463623047
3;B;Ana;le;reveló;a;Javier;ser;muy;temerosa;durante las tormentas;3;B;subject;grammatical;mismatch;reveló;fem;ser;Ella le reveló a él ser muy temerosa durante las tormentas.;2.0;4.58895206451416;26.43185520172119
